cleaned_text,sentiment
after years of using wunderlist and organizing both my professionell and my private life with the app i made the switch to microsoft todo after they announced that the wunderlist service will be terminated around mai this year 2020 first impression was good and after years of using wunderlist i felt at home but on the first day in the office came the shock you can not manually reorder the tasks seriously that undermines how i and i guess a lot of people use a todo list,negative
not babysitting tonight i miss that kid,negative
its always lagging and hanging up and not moving and ive cleaned my phone storage and its still the same un installed installed it 3 4 times already but its still the same i dont know what it is about the app but one more crash i ll never go back to using this app and tell my friends to do the same sheesh,negative
notification is now pathetic shame i liked it a lot i think its time to jump ship it s been fun,negative
no ability to add a shortcut widget to quickly add a task meaning it will take several swipes clicks to add a new task on my android phone wunderlist didn t have this constant friction it s a shame that they re shutting down wunderlist without having all of the same functionality,negative
i was stupid and didnt get it now i cant find it i think i have to do ebay but that scares me,negative
just watched yes man bahaha that movie is messed up,negative
new update has performance bug very slow in scrolling down and typing update after last update now i cannot type or write anything in task description after markdown features bilkul bekar,negative
had annoyances with the ui the font was too big for me and i couldn t see a lot of things at once and for all its gimmicks it s really just a simple app,negative
lunch sucked ran out of time didn t get anything done,negative
i really want to love this app but it won t even let me select pm so its constantly telling me its past the due date which makes the app very useless to me,negative
they r the most random things that my mind can churn as the chennai heat gets to me i can assure u these will b more often,negative
i was testing this to replace fabulous so far the notifications are not persistent enough fabulous is able to wake me up in the morning,negative
i m afraid im def a product of the nri karan johar generation i ve been watching a lot of classics this semester,negative
my brain is gonna explode a minute from now it is full of numbers this should be the cliiimb j i m climbing the mt numbers,negative
todoist is the cornerstone of my organizational system i am an undergraduate student and use this app to manage my reading assignments exam schedule administrative deadlines etc sync with windows 10 desktop app is awesome i am a free user and would gladly pay a one time price for full features here but a monthly subscription is a turn off most recent update added check boxes which confused and altered the functionality of the widget which was wicked btw please add ability to turn off,negative
painting my nails green in an attempt to look like an army person annoyed that everyone seems to tan apart from me freckles and sunburn,negative
oh i m sorry for that how old was your grandpa,negative
just took the terminator trilogy d but what i need is actually tv series and i still can t find anything tempting,negative
it s misleading to list data export as a reason to buy premium when it is not included with premium it would be great if you could change this to accurately describe your three tier pricing system additionally the platinum purchase option is currently showing me the full price even though it is advertising a 33 off the greyed out full price is exactly the same as the 33 off price will give higher star review when these are fixed,negative
i feel so stupid for saying this but i don t know how to twitter some one please help me ppl please do not laugh ok laugh but,negative
ugh i just realized that i have to completely redo my tweetdeck groups pains of computer being wiped clean,negative
nothing is free very bad,negative
ugh still sick this calgary cold has lasted forever,negative
ugh i just want things to go back to normal i miss my best friend,negative
omg cat had a hairball awake now,negative
really no callender view without premium like really bro other apps do that for free so i think i ll just use one of those apps instead i d get it if it was a one time purchase like a dlc in a video game but a 2 99 monthly subscription that s just ludicrous,negative
nothing special just a calendar app not worth the time it takes to set up clunky at best poor layout minimal instructions not intuitive to use,negative
app freezes every time i add a task when i close and reopen the app the new task is there like nothing went wrong,negative
received our first bit of spam from twitter not sure how to feel that the sanctity of our conversation has been tainted,negative
yeah sabrina though i keep thinking it s something else cary grant ain t too shabby either bringing up baby,negative
i m tryin not the be boring today i just can t seem to come up with thing to say,negative
this app is not worth the 6 a year poorly developed with several glitches,negative
missing nate more than usual tonight,negative
i m bummed that the contest is only for the 48 states what about hawaii,negative
it doesnt offer anything that i cant do on my google calendar at least not in the free version i m not going to pay for an app that is basically just going to import my google calendar when i can do the same things with google for free also i saw another review where they have deleted reviews which is shady if this gets deleted i ll look into the legal laws governing false advertising,negative
thinks my not girlfriend needs to not be a douchebag right now i m not in the mood to feel neglected,negative
it doesn t allow the ability to automatically set reminders when creating a new event i use both the google calendar app and business cal pro and they both allow the ability to automatically set reminders and yes i have this setting enabled in my google calendar web settings this is an important feature that s missing,negative
trash app this is a great example of microsoft buys companies and gutting their usefulness overloaded with features that are unreliable and useless,negative
after the update all my completed sub tasks were deleted i set those up because i uncheck them every month when i need to use the same lists over and over really annoying especially since i don t think i ll be using the new features at all,negative
that sucks mama,negative
it s ok the free version does the same thing your calender does on your phone,negative
update noticed this app sending data to facebook when i set up my firewall no bueno,negative
cat is anxiously watching wild turkeys in my back yard i think they have their eyes on my bunny rabbit,negative
very bad premium services developers are not taking care of this app anymore,negative
does not sync automatically very frustrating have to go in and sync now even though setting is set to sync every hour done with this app,negative
very poor customer support despite being a paid subscriber strongly recommend against this app not able to sync across devices and there was no response despite sending mails,negative
this is the free version the paid version is 7 99 the platinum version is even more you can only track 5 habits in the free version developers must be paid but a lack of up front honesty makes this product undesirable i should charge for this do not install doughymiddle,negative
i was facing a problem that my reminder never pop out at notification bar when it s time i have send a few message to support team regarding this problem but no one reply just a member who call david he sent me a welcome message then i replied him with my problem as well he did not reply too i have just paid for 1 year package now i hope i can get my refund,negative
the more i hear about this gm thing the more angry i get billions wasted more bullshit all for something like 40k employees and all the,negative
genevaaa my picture isnt showing up i dont think im doing it right,negative
i picked up some stuff i missed the 2nd time and to think you missed all the in jokes too,negative
too complicated trying to add items to a list it keeps trying to use the item names instead to make a new list or send the old list to this,negative
the free version has horrible ads other than that the app is marginally better than google s free calendar app that had no ads it was an easy decision to uninstall and go back to google calendar,negative
the new update is awful i have to do so many extra clicks to perform basic operations like moving tasks to different days multi select doesn t work any more and the widget is totally broken rescheduling anything from the widget locks it up completely,negative
one of the worst app if someone believes in this app for sure they are going to miss that appointment,negative
i have problem with purchasing the pro version when i click on buy pro button it says already purchased please restart the app i have not yet purchased it though and nothing happens when i restart the app,negative
ohh yeahh i m probs gonna be a loner to start with thanks to the person i was gonna go with be a,negative
rs1050 have been deducted from my account twice for yearly subscription but in the app its showing that i have not purchased any subscription yet,negative
sorry bout 2day bloody typical goin 4 a laydown now feel sick again ooo this not nice x,negative
bought the premium version couldn t access my 100 habits emailed team took many emails for them to address problem asked to redownload app all data deleted problem was never solved more emails to get money back told that they are a small team worst experience with any app i ve ever bought,negative
i m adding a star because the import from wunderlist was seamless but otherwise the fact that i cannot drag and drop reorganize stuff manually absolutely sucks soon as i can get my lists imported into something else i ll be moving on,negative
probably none better can do a thousand things but developer forces you to always think birthdays and you can t disable tasks either if i don t want those functions then don t force it,negative
automatically completes task for the day as i open the program i do not have any access to see what was completed or if i lost something important i have to do,negative
this is dumb i keep losing followers,negative
pathetic i was totally in love with this app until i changed my phone i lost the phone and when i installed the app in my new phone everything was gone my habits data for last one year every damn thing and i have purchased premium of the highest cost there s no way to restore my data or contact the devs if you cannot save on json file of mine in your cloud please explain why i should buy premium there is a sync option in the app don t tell me i should have manually synced my stuff,negative
has less features than wunderlist a more complicated ux and is tied to a microsoft account enjoy the crappy spyware folks,negative
what s worse than a fever and sore throat cancelling a trip to see your little bro because of a fever and sore throat,negative
i don t like when my g1 changes i feel like google should send me an email and tell me all the things they re gunna do to my phone,negative
i honestly didn t get much chance to use the app before it stopped connecting and not letting me do anything before that happened i started setting up daily tasks and the part where you set how often such as the days of the week you do each task was confusing i would change the days on one task and it would change it for all of them over all too much work for its worth loved the idea though it would have really gotten me doing things to level up and collect items,negative
no way that sucks b are you ok,negative
ha the potential is there but so is the loss of fingers think you can get the po to do it at a charge and not full proof,negative
and this terrible cartoon that s supposed to be mexican,negative
i really don t like this weather,negative
just saw a trailer for batman arkham asylum and you can play as the joker but that s only ps3 exclusive that hurt,negative
i still miss him and i dont think he s coming back,negative
a nsty when ppl make fun of someone laugh their asses off when the see ur not laughing that shoud be a hint wrong,negative
alarm nahi he,negative
thing always end up going bad,negative
better than google calendar but has bugs for example it keeps restoring deleted events after i delete them i cleared cache memo and restarted phone useless still the same banana update yes i did remove gmail account but no use it seems a bug between localhost and oppo accounts as it shows both colors for the same birthday btw i tested removing oppo account or localhost then i get a bug free part of the calendar but it bugs again after that part update yes 2 entries but for a certain period,negative
i think that s what s wrong with me stuffed up and when i breathe in it feels like a sore throat,negative
gettn ready to take a trip to jersey my dad s not doing so good he needs a new heart whoeva see s this please say a prayer for my dad,negative
and this stupid wireless wont work downstairs,negative
aww bbq that s not fair all i had was chocolate,negative
came over from wunderlist and i was not happy with the changes i have sync errors all the time my lists are doubbled up the ones i had shared with others and when i add a new task to any list they go to the bottom at the list so i have to manualy drag them uppwards and if i change it so that it goes to the top of the list the app wont let you drag organise the list this app is just bugs bugs and glitches so in short make it more like wunderlist but ok app otherwise,negative
i find it a good application but i find the microsoft service very bad accounts are a problem and a mess always crashes without reason so stop using email now with this application i only opened it once and it already tells me that account is locked bohot gussa i will definitely not use any of their products again and they do not even give any technical service the attention to users is terrible i do not recommend microsoft products,negative
better than what i did to my macbook keyboard yesterday spilled a whole cup of hot chocolate on it,negative
do you love apps that design their experience to be poor unless you pay ongoing subscriptions for static feature sets that make the experience barely tolerable do you prefer having money siphoned from your account over and over again instead of paying a single small fee once for an app like we used to see then this is the app for you add one more debit to your bank account they hope you ll forget about and statistically speaking you will for a stagnant app you ll forget about in a week,negative
well i can tell you i didn t marry my like maybe that s why i m stuck in situations like i am now,negative
this app is not getting opened pls look after this,negative
so much to do by 1 pm i don t think i m going to get it all done,negative
microsoft to do does almost all of this for free it is pointless to pay such a hefty sum of money for these so called premium features,negative
this class is really long and i m really getting hungry,negative
this month was a bad month to try and get an advert together for kobold quarterly,negative
i like what its trying to do and want to use it but it s missing a few things to do doesn t support formatting at all mobile or pc and any formatting you do in outlook is erased and spacing is messed up to do has the ability to create subtasks but doesn t translate over to outlook the to do app on pc doesn t allow you to enlarge the task note window so your forced to type in this little box on the side of the window please fix these,negative
omg i m so sorry anything i can do to help,negative
iphone is doing that not opening downloaded apps thing and i forgot my cord at home,negative
hurts to be you sunshine all weekend and you don t get to play that s sad,negative
i can so sympathise with that,negative
if one people did any wrong the world blames all the people over there this is the great world which we are living in,negative
how come everyone seems to make so much more money than me,negative
the notification bar does not work the add task option appears i enter the task and click on the icon there s just a progress spinner the close icon does not dismiss the notification bar either how inconvenient had this issue in oreo too right now i am on nougat also the animations inside the app are slow the icon where you tap to tick the task is very small,negative
bought the pro version amount got deducted and programer version became accessible but after sometime its showing that i have to buy the pro version again kindly troubleshoot this problem,negative
good shared tasks but app itself makes me angry it keeps forgetting i am logged in with my google account so i need to login for like each two weeks or so and it also forgets my settings edit unfortunately this has not been fixed yet even though i had sent logs and communicated with you decreasing my rating,negative
too much sand in the sd 790 from pismo this weekend another canon powershot broken 2nd one in a year what to buy this time,negative
the interface is incredible it s the perfect organizational app i ve always been looking for this is all overshadowed for me however by the fact that it is automatically attached to your email with no way to remove it i would use this app daily if it would just exist in it s own bubble without needing to grab onto 3 emails minor complaint but it really turned me off from the app and if i had known this i would not have used it in the first place,negative
the widget and sync functions does not work on premium i get the widget error telling me to log in but i already have and even reinstalled the app nothing works developer please fix this,negative
is sooo stressed about everything i have to do,negative
i d rather have continous ads than a payed time subscription honestly the subscription seems pretty shady for somethng you can easily do yourself 3 69 for a month subscription and 36 bucks for a yearly subscription seriously why not just pay a premium one time payment costing 10 pathetic,negative
sad i missed going away party due to too much work but i really am gonna miss that kid,negative
i ve used this app for years and have loved it up until now now i get full page ads that sit there for 5 seconds and disrupt what i m doing i don t mind a full page ad that i can back out of or scrolling ads at the bottom but to force me to watch a 5 second ad is not reasonable seems like they re forcing you to pay up or move on to another app if this continues i ll find another app,negative
omg i m so sorry to hear that if you really need to talk to someone i m always on here i m a shoulder you lean on,negative
i kept getting empty screens when opening the app so i pressed skip filled out the registry info and was taken to character creation where i couldn t see my character or the build options i could select things like body or hair but nothing appeared relating to that,negative
seems to have glitched out on me when i put in my username and display name it gave me an error saying path profile name required then none of the avatar customization options appeared i wasn t even able to start the third page when the app crashed reopening the app took me to the dailies tutorial and now i m sure i m missing something i have a samsung galaxy note 10,negative
oh mann me likey that but sadly i m not bein auctioned on twpp tonight,negative
im writing an exam on a saturday that should be illegal where s my weekend,negative
wunderlist was awesome this replacement works slow with terrible ui and missing features from original app,negative
i don t understand anything help,negative
well then andy i dont think you should date me,negative
this app used to be good but now the recurring reminder time changes everyday to the time you completed the task,negative
used it until simple backup was premiumized restore wont work between different versions unless you modi hack the file author would not tell you that you can do it though if you ask his help restore dont recognize my backup file at all so all my lists are basically inaccessible now will never install this again and i suggest anyone who values his data not to,negative
i downloaded the app and it worked fine only once the second time i tried to open the app it stops by itself i tired uninstalling and installing again the same thing happened again this is the 4th time i had installed the app it worked fine once and again has just stopped working it wont even open,negative
that truely is sad news to hear we are all created equal so sad to know our neighbors are such prejudice people,negative
i m sorry people are so rude to you isaac they should get some manners and know better than to be so lewd,negative
don t say that i really miss my red porsche sold it 2 yrs ago,negative
gees can this week get anymore horrible now i cant go to spain,negative
android keep blocking the app from sending notifications i ve re downloaded it and put an exception for it in the battery settings to work without interruption but nothing happens fix it,negative
going to shawnee i hate the long drive there i just want to get all this paper work over with,negative
lol i ve done that one b4 i m a victim 2 that lol,negative
trying to set a reoccurring daily task is so convoluted that it requires reading a lengthy help article bohot gussa bohot gussa bohot gussa i ve switched to google tasks which is way more intuitive,negative
night at the museum tonite instead of up oh well that 4 yr old better enjoy it lol,negative
syncing with alexa takes over 10 15 minutes which renders it unusable any do before you post your generic response yes i added the skill to my alexa and yes i logged into my accounts it syncs kind of so i can verify the two accounts are talking just not well at all when i use wunderlist or google tasks or just alexa by itself the changes are instantly viewable across all platforms the only reason i downloaded with app was to give me more control over my alexa lists which for some insane reason you cannot reorder the extremely lag in syncing any do with alexa renders this app useless the ui looks really nice and user friendly so i bumped it up to 2 stars,negative
broken from the start can t do anything,negative
_mcsupergirl ok finished set u free and i am sooooo mad rite now it cant end like that i dont want him to be the bad guy,negative
it does not stop you to open youtube so it s not that good for me,negative
would like to remind people that i am out of kansai scene and whatever the current issue is like i have had nothing to do with it,negative
i just installed this app and it s always on landscape view please fix this soon thank you,negative
in general i really like this app but every time it does an update or my phone restarts i have to go to redo the battery optimization settings because otherwise i don t receive notifications this is just ridiculous that it doesn t save my settings 3 months later and still have the same problem,negative
oh what a day it has been stress and thinking about the future is making me sad,negative
i ve used this calendar for years it has always been the best but now they ve added ads unless those go away i ll be finding a new calendar,negative
loved this app but recently noticed i really was t hearing the audio from notifications and for some unknown reason although the notification volume for the pro version sounds loud at 100 system volume for notifications this version bc2 sounds half as loud if that to the point it s unusable because i rarely hear them update just realized that for some odd reason bc2 calendar notification volume is mapped linked to ringtone volume and i had that lower than half volume please fix this,negative
holy kraut i cannot stay up this late but the book is done and in the author s in box tucking in with kitty boys now nighty night,negative
wow one year today luc bourdon was killed doesn t seem that long ago,negative
this herniated disc sucks i m stuck mostly on my back when i could be out riding,negative
i miss that too,negative
i would use the app but it s a paid app and i m not sure of its true value because i haven t used it how is it better than keep or others that are for lack of a better description free,negative
could not get the app to save event time properly all i wanted was to put a due date between 11 50 p m and 11 59 p m on a certain day would not do it the app kept automatically changing my times that s annoying enough for me to ditch it and move on,negative
honestly the premium version is just not worth it what s the point of having advanced calendar views and event setup and calendar import if in every case you can t see future recurring events the next event in the list of recurring appears only if you have ticked off the previous instance in order to use a calendar efficiently for planning you ought to see what events are next this hindrance has been made present by the users as far as 2015 as i m seeing online and nothing has been done that not only shows poor hindsight what s a calendar without planning but also a strikingly deaf customer service the app is probably just as good as its free version the pomodoro timer is ok but the extra features are just not worth the expense for the premium version,negative
this sux but took like 4 minutes going to sleep finally,negative
that was stone cold crazy,negative
this app is to complicated,negative
only 5 items on free version would be nice to have that clear so i don t have to waste my time and give out my email,negative
another app that fails to draw events correctly on day view if i have an event from 3 00 to 3 15 and another from 3 15 to 3 30 there should be drawn with a space between them no matter how much i am zoomed in they are not overlapping events so don t treat them like they are,negative
this app is very very very sexist when you start the app up and go into the icon menu for the avatar of your hero character the vast majority of the icons possibile to select are definitively male worse yet is that all of the ones intresting in thier design or portray something such as the workplace are entirely male the few female icons avalible more than half not even on their own are showing an entirely narrow view with a subservient feeling in thier portrayal the developers of this app should be ashamed of such blatant misogyny,negative
r i p fristy just thinking abt her,negative
i am native not french i hate this trying to find animals in french i suck someone help pleeeeease alone allison iraheta,negative
i think they are working why eyes are drooping its so weird being under drugs i dont like it cant wait for tomorrow though,negative
the app itself is really nice i like how the widget displays my schedule for the day it gives me a very nice grasp of my time the bad thing is that it slows down my smartphone i have a s9 and it drains a lot of battery it makes my phone lag and stutter when i try to open it i uninstalled ans reinstalled apps to check my theories so i uninstalled this one the phone was doing so much better and i even paid for the pro version,negative
no seriously you guys i wanted to kick monday off with starwarswithaddedpants spam really,negative
i like this app it s just that whenever i enter something in my calendar it would not sink right away,negative
i cannot deal w this tweet lol,negative
had to change within 50 miles because within 25 miles were effin boring,negative
i have to agree that the full screen time draining ads are not viable for a business calendar regardless of the reasoning behind it by all means keep the small rolling ads along the bottom of the screen or alternatively charge a more reasonable fee to go pro 6 is not an option when there are so many other options out there such as acal which i used to use before bc and am now reverting to i ll keep an eye on business calendar though because if you change the ad situation or make the pro price more reasonable i ll certainly be back,negative
i tried adding the pro for 7 99 because i thought you could set daily reminders by just marking repeat daily it doesn t do that or any of the things i was hoping for i have had it less than 24 hours and would like a refund i have sent emails asking for help and haven t received anything back so i just want my money back and this app gone,negative
_ferman that s so weak facebook fail,negative
i used to love this app i ve been using it for about two years but recently it s started to crash every time i click on the timer i tried an alternative that i didn t like and came back after a couple of months but still no improvement,negative
there seems to be no way to actually mark a task as complete so i had to delete the tasks i actually did complete and therefore have not gotten in game rewards there is also no way at all to contact support if you join the habitat help guild that is supposed to allow you to ask questions there is no obvious way to post a question there there is a button to leave the guild but not one to post a question this app is terrible and is a waste of time,negative
it s a true mystery of life how microsoft can take anything and make it look ugly and needlessly complicated why on earth would they not simply leave wunderlist as is so they see nothing wrong and decide time to wreck it who is going to save us when they finally shut wunderlist down,negative
doesn t do what i need it to do with setting recurring alarms such as every 3 hours forever it just says how many times do you want this to repeat but doesn t let you choose hourly just daily weekly etc,negative
oh that sounds bed poor girl,negative
thinks his haircut isnt as bad as it looked yesterday still bad tho,negative
other than that you are totally bereft of faults in every way,negative
very good app that is perfect for how i think but it kept asking me to rate the app for months now and i ve always pushed later i m sick of it asking me to rate the app,negative
i really liked the app for its simplicity that changed tremendously with the recent updates for example it now takes me 10 clicks to postpone a single task people use to do apps to improve their efficiency but this app isn t efficient anymore at all i hope the simplicity comes back with future updates,negative
unable to delete a list there are no 3 dots on the top right hand side of my screen i dont have all the features it says it has i loved my wunderlist and tranferred everything to microsoft to do not sure i will keep it looking for other options,negative
i think the vog is making me sicker than i think feeling slightly achy,negative
owww i think i tore something in my leg,negative
annoying to set up you d think it would be easy to have the exact same same schedule just 30 min later,negative
back to work tomorrow whose idea was it to go back on a saturday oh wait that would be mine fail,negative
i ended up not going because my left knee is killing me i think i pushed myself too much yesterday,negative
wating to get my hair cut before prom it sucks people screaming instead of talking probably going to be wating for another hour,negative
ugh i have boom boom pow stuck in my head and i hate that song,negative
maybe i was wrong this week could have stayed good but it didn t,negative
i killed my dill plant again why does this happen with dill it is doing great then suddenly it s dead,negative
twitter is useful in that it reminds people what they forgot to ask me about on a given day it is also excellent for inspiration,negative
why are you counting inactive habits for the 5 habits total it s ridiculous there are many other apps that don t have this silly cash grabbing limit,negative
shelf from ikea fell off the wall damage done about 78 95 worth or at least thats my estimate,negative
can we have the lists back at the top of the page like wunderlist i don t need any of the options that take up the top half of my screen,negative
not all tasks reach completion some need to be deleted and rightly so but by design delete action is tucked away under three dots menu and then behind confirmation message thus making deleting tasks in bulk deliberately harder probably to keep fake karma number high and jack up usage statistics the swipe action on the list should be customisable so delete action can be set when its swipe left also since recent updates the upgrade to premium nudge is slapped everywhere,negative
that sucks that u have 2 go through that id b pissed 2,negative
sad nothing,negative
an app absolutely focused on my needs that has broken the sync function broke down about 3 or 4 months ago it can export its data to csv but not import it,negative
wat u doin my bad im mixin this song,negative
we re idiots ok mostly i was skint but hell i could ve done something,negative
need to be online to use this app in case you make changes in offline mode it doesn t sync automatically when online you need to again make those changes enable offline feature and offline data should be synced when ever we are online once this is done you got my 5 star,negative
the app crashes every now and then no point of using the app when the timer freezes and the app stops responding it is happening from the past 2 weeks kindly do something about it because a lot of people seem to be facing the same problem,negative
programmer does nog work properly it is changing times and dates on his own instead of saving time it is costing me time and money for the pro version i ran into this problem a few days after my purchase so i m not able to get a refund while the app is unreliable so practically unusuable,negative
i m a pro user worked great initially but it is not opening and continuously stopping please fix this asap,negative
ooh hayfever has struck thought i was going to avoid it this year but nooo remedies anyone,negative
it only lets you use it linked with google calendar you can t have 2 separate things,negative
i am so sick and tired of this on and off rain,negative
i told andrew that jt is going to cameo mtv movie awards he said he s pissing me off guess they re in a fight,negative
lost his favorite thing he loves to always have on him his story of the year key chain,negative
functionality for which i paid has been removed in android 10 i am sick tired of this stuff going on,negative
they are evil mean people who hurt you i have a terrible phobia of dentists but had toothache from hell this week,negative
if she sees that she will cry lol,negative
mourning venus third round loss,negative
what do u see in her that i dont have,negative
ouch i hate it when favourite items of clothing get ruined,negative
most definately they are having a hard time cuz i m so young never saw this but i wrkd hard making cars now i m disabled,negative
just had an iced coffee christ that tasted nasty,negative
love this calendar up until a few days ago the ads used to be fairly non intrusive which i get and could totally live with now they have a full screen animation that you have to wait on to use the calendar totally unacceptable when i m with a customer absolutely do not recommended this calendar as currently configured,negative
the ui is not attractive to begin with text overlap and the fact that the only screen orientation available is landscape immediately turned me off to the app the layout is not bad and puts all the information right in front of you but it looks as if it was built for windows 98 i certainly was not willing to pay for the full version when the free version was so flawed i can find better free apps with more functionality than the paid version of this one it needs some work,negative
that s odd as it s on my lap maybe that s your cat o s,negative
not a fan of being constantly reminded the moment i begin 2 experience your app that every setting or option is not fully functional or could be better with a subscription everytime i look settings i m reminded when i configure the app i m told about the subscription of 35 year how bout letting users experience the full benefits of what u have 2 offer for 30 days b4 making us sign a yearly sub instead of 7 day free trial this is an opportunity 4 u to humble your customer base sunriseapp,negative
but he s mine you told me a couple of weeks ago that you didn t find any other guys hot apart from the ones you,negative
man i cant go on sunday cause im helping out all day at the piano recital this sucks,negative
unable to import wunderlist data says nothing to import,negative
anyone ever had that heavy feeling of sadness in their hearts thats my case rite now,negative
so what you take away wunderlist make us use this much more convoluted app and do not even have a choice of widgets,negative
it s okay but i migrated from wunderlist and i still miss it plus the widget keeps on breaking not showing any tasks when i delete it and put it back on the screen it works again but only for a few days please fix this,negative
it s a great app really nice features does everything it says on the tin but let me tell you a productivity app won t do what it s meant to do unless it s usable offline i really loved using it but now i m going back to the good old bullet journal,negative
and why do they think how much they want it is a factor i really want to be 19 and fit again but that s just not going to happen,negative
hmz second most popular page on this governmental site is the 404 page fail,negative
everythings sooo messed up life sucks,negative
hard to use if we could make some changes just by sliding the clock or smthn that would be awesome,negative
couldn t edit any habit in this apps can t add pages episodes and liters bec they re not available in the edit menu the only way to edit a habit is to delete it,negative
that little boy that drowned yesterday lived in our subdivision and went to nicoles school so so sad,negative
help my computer has a virus i had to place my etsy shop into vacation mode until i can sort this out i don t know what to do,negative
checking out ciege cagalawan s s s collection and i am regretting that i did not see his collection tonight i got invites,negative
found out that a schoolmate died of an heart attack this morning he was barely 35 will miss u bally,negative
i was enjoying this app and decided to buy the premium features but they took the money and provided nothing at all i tries contacting the developer via email and no answer at all stay away,negative
the day flies when u got 3647 things to do and only 8 hours to do it in,negative
i never liked that boy jerms,negative
wow your spam really has everything covered mine s almost all enlargement stuff,negative
while it certainly wasn t expensive it was a waste of money in the fact that i found this app to do very little more than any calendar after reading the faq it says it s more than a calendar how especially since adding anything is done in the same way you create a calendar event the routine function is a missed opportunity in that i think it will help me establish a morning routine for myself but in reality it s about creating calendar events that repeat a slightly expanded component of any free calendar our there when i think of tuning my time spent i m thinking better organization for smaller tasks then find myself spending an hour setting 1 minute events for myself that i was never actually notified about lol what irony unfortunately it was not time or money well spent,negative
a very good to do manager i would take a premium version if on the windows version it would possible to set change manage location reminders for this feature i already wait some years i m really surprised that the programmers are not able to add this feature also at the windows app it s annoying so anoying that you have to edid every task in android again to add a location reminder but it seems to be to difficult for the programmers so when this is to difficult what can we expect will the maintanance of the windows app stay on a reliable basis waiting already since years for a change didn t know why the ask me to change settings on android to change place reminders on my windows ticktick may be i should give up 18 10 2019,negative
what did she ever do to piss them off i thought you just meant casting related not more of that,negative
fear crept in but it s already been dismissed now let me do this thing right coz this time the feelings are there and it s so different,negative
terrible when you get a new phone only about half my data transferred when i updated my phone months of scheduled events don t show up now not happy at all with this app,negative
yes thats a problem prism fail,negative
i think i may cry i just sold my 97 civic its no longer mine,negative
this hiatus of yours is like really long boo,negative
i m very sorry i bought the full version so quickly the only benefit i found so far is the ability to add more than 7 habits i couldn t find a report that would provide information about my success and pinpoint areas that i seem to regularly miss i was drawn to the simple ui but will probably write this off as a waste of money and return to daily tasks,negative
bad hair day,negative
every time i have friday off sadly that s not too often,negative
not sure but i can tell you what happens to a pre chilled watermelon that you leave in your car in tx for a week not good,negative
oh how cool ok so for your head just laydown and put ice on it that should heep the swelling down i feel really bad,negative
does this app truly have reminders it refused to remind me of my event,negative
i was sleep for all that and missed the fun hey dg lets play another gammme brian,negative
well guess we just make a pretty great pair so i don t think our birthday date is going to happen,negative
it s the non www fail that works,negative
i really wanted to like this app but it s just too buggy sometimes i open the app and it doesn t have the icons to switch views also the 12 hour formatting is really flawed and the priority scale seems way too complex high medium low should be enough for most people,negative
where is the alarm tone setting in this,negative
i certainly know the feeling wesley is sleeping and i want to go get something to eat but i only have 4 38 in my account,negative
i cannot log in my microsoft account the app shows a message your password is not correct but i can log in my account using the pc version of the app how to solve this problem,negative
hahahaha yeah you mess up that crossing and kneeling bit you will get called out joking,negative
i need a job that can pay off all my hospital bills i have been very sick lately,negative
i need a hug i m doing my junior cert this week and i m totally stressed out,negative
whats the point of wisdom teeth nothing grr in so much pain and i look like a chipmunk fml,negative
tells me it can t import all my data and to retry but when i retry it tells me everything is up to date and there s nothing to import of course the one list that s missing is the only one that s important i ll be trying another app thanks but no thanks,negative
i like the app but i don t like rating apps and this one constantly nags you to do so with no option for it to stop even with the paid version so 1 star for being annoying after i ve given them my money,negative
this app is just impossible to use without the whitelist functionality which got removed from the free version great shame,negative
trying to go to sleep but no luck i think i m sick s,negative
i do too but not heavy rain which we ve had 4 more than a wk,negative
i created a task for picking up groceries and set it to a specific day why in the world would the default setting in this app be to override my do not disturb setting and ring vibrate at 5 o clock in the morning on that day even though i like the apps functionality i would never recommend it to anyone with these default settings,negative
for something that is supposed to comprehensive i am disappointed that the app lacks allowing you to set a start date end date and designate progress for tasks this app doesn t meet my needs as most of my tasks are not associated with a single date,negative
yeah i m not really feeling it either of course i don t like the movie line i wish that we were getting more animated,negative
and they are so censoring over at nin com nobody can really speculate about these things are disagree with anything,negative
nothing but connection error after connection error the concept is great but i can t even manage to use the service because any time i try to do anything that s all i m getting,negative
i hate how you cannot open the app and see all your lists there you have to have one open at all times and it does not show a list of your list on the home screen deleting this app for this reason too bad the rest is great but they need a home screen they don t have one,negative
